File Date,Trade Date,Form,Insider,Ticker,Security Title,Code,10b5-1,Direct,Exercise Price,Unit Price,Units Changed,Value Changed (1K),Remaining Options,Remaining Shares
2021-06-02,2021-05-28,4,GARRETT DIANE R,HYMC,Class A Common Stock,M - Exercise,,D,nan,nan,"11,655",nan,nan,"311,615"
2021-06-02,2021-05-28,4,Stieber Jeffrey,HYMC,Class A Common Stock,M - Exercise,,D,nan,nan,"4,779",nan,nan,"54,823"
2021-06-02,2021-05-28,4,RIDEOUT STANTON K,HYMC,Class A Common Stock,M - Exercise,,D,nan,nan,"6,370",nan,nan,"146,094"
2021-06-01,2021-05-28,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,J - Other,,I,nan,nan,"-4,813,180",nan,nan,"25,183,978"
2021-06-01,2021-05-28,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,J - Other,,I,nan,nan,"-4,813,180",nan,nan,"25,183,978"
2021-05-26,2021-05-24,4,"Mudrick Capital Management, L.P.",HYMC,Restricted Stock Units,A - Award,,I,nan,nan,"20,270",nan,"20,270",nan
2021-05-26,2021-05-24,4,Harrison Michael James,HYMC,Class A Common Stock,A - Award,,D,nan,nan,"20,270",nan,nan,"32,609"
2021-05-26,2021-05-24,4,WIESHOFER MARNI,HYMC,Class A Common Stock,A - Award,,D,nan,nan,"20,270",nan,nan,"32,609"
2021-05-26,2021-05-24,4,WENG THOMAS S.,HYMC,Restricted Stock Units,A - Award,,D,nan,nan,"20,270",nan,"25,318",nan
2021-05-26,2021-05-24,4,WENG THOMAS S.,HYMC,Class A Common Stock,M - Exercise,,D,nan,nan,"5,048",nan,nan,"10,095"
2021-05-26,2021-05-24,4,Naccarati David C,HYMC,Class A Common Stock,A - Award,,D,nan,nan,"33,784",nan,nan,"33,784"
2021-05-26,2021-05-24,4,DAVIS EUGENE I,HYMC,Class A Common Stock,A - Award,,D,nan,nan,"20,270",nan,nan,"32,609"
2021-05-26,2021-05-24,4,LANG STEPHEN A,HYMC,Class A Common Stock,A - Award,,D,nan,nan,"33,784",nan,nan,"33,784"
2021-05-24,2021-05-20,4,Stieber Jeffrey,HYMC,Restricted Stock Units,M - Exercise,,D,nan,nan,"8,183",nan,0,nan
2021-05-24,2021-05-20,4,Stieber Jeffrey,HYMC,Class A Common Stock,M - Exercise,,D,nan,nan,"8,183",nan,nan,"8,183"
2021-05-07,2021-05-07,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,Common Stock,S - Sale,,I,nan,4.0500,"-6,495",-26,nan,"7,169,031"
2021-05-07,2021-05-06,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,"Class A Common Stock, $0.0001 par value (""Common Stock"")",S - Sale,,I,nan,4.0400,"-16,227",-66,nan,"7,175,526"
2021-04-28,2021-04-26,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,"Class A Common Stock, $0.0001 par value (""Common Stock"")",S - Sale,,I,nan,4.0400,"-30,233",-122,nan,"7,191,753"
2021-04-19,2021-04-19,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,Common Stock,S - Sale,,I,nan,4.0000,"-190,862",-763,nan,"7,221,986"
2021-04-19,2021-04-16,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,Common Stock,S - Sale,,I,nan,4.0200,-510,-2,nan,"7,412,848"
2021-04-19,2021-04-15,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,"Class A Common Stock, $0.0001 par value (""Common Stock"")",S - Sale,,I,nan,4.0200,"-37,863",-152,nan,"7,413,358"
2021-04-12,2021-04-08,4,WHITEBOX ADVISORS LLC,HYMC,Warrant,S - Sale,,I,11.50,0.4800,"-600,765",-288,"312,252",nan
2021-04-12,2021-04-09,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,Common Stock,S - Sale,,I,nan,4.0500,"-20,284",-82,nan,"7,451,221"
2021-04-12,2021-04-08,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,"Class A Common Stock, $0.0001 par value (""Common Stock"")",S - Sale,,I,nan,4.0800,"-156,179",-637,nan,"7,471,505"
2021-04-08,2021-04-07,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,Common Stock,S - Sale,,I,nan,4.0800,"-87,687",-358,nan,"7,627,684"
2021-04-08,2021-04-06,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,"Class A Common Stock, $0.0001 par value (""Common Stock"")",S - Sale,,I,nan,4.1200,"-24,842",-102,nan,"7,715,371"
2021-03-24,2021-03-22,4,Wbox 2015-5 Ltd.,HYMC,Warrant,J - Other,,D,11.50,nan,"-913,017",nan,0,nan
2021-03-24,2021-03-22,4,Wbox 2015-5 Ltd.,HYMC,"Class A Common Stock, $0.0001 par value",J - Other,,D,nan,nan,"-7,997,341",nan,nan,0
2021-03-24,nan,3,WHITEBOX GENERAL PARTNER LLC,HYMC,"Class A Common Stock, $0.0001 par value",nan,,I,nan,nan,nan,nan,nan,"11,943,317"
2021-03-04,2021-03-02,4,Stieber Jeffrey,HYMC,Restricted Stock Units,A - Award,,D,nan,nan,"32,304",nan,"32,304",nan
